N(initial input number),No. of bits(n),T(N)- Actual running time(in secs),Case 1 formula = O(sqrt(2^n)),Case 2 formula = O(n^3),
7,1,2.1457672119140625e-06,1.414213562,1,
31,2,1.9073486328125e-06,2,8,
347,3,4.291534423828125e-06,2.828427125,27,
8831,4,1.1205673217773438e-05,4,64,
44041,5,2.3603439331054688e-05,5.656854249,125,
821479,6,0.00013327598571777344,8,216,
2353979,7,0.000202178955078125,11.3137085,343, 
12625979,8,0.00039505958557128906,16,512,
368693491,9,0.002110004425048828,22.627417,729,
7386751439,10,0.011230230331420898,32,1000,
76948052543,11,0.034651756286621094,45.254834,1331,
993663647239,12,0.1201639175415039,64,1728,
6286217659789,13,0.24076080322265625,90.50966799,2197,
14416872708493,14,0.3456728458404541,128,2744,
843466681396517,15,2.683371067047119,181.019336,3375,
9893009419892713,16,9.560468912124634,256,4096,
90016477798417061,17,28.158084869384766,362.038672,4913,
822607206536814947,18,84.93849802017212,512,5832,
8283727473827984467,19,441.3893241882324,724.0773439,6859,
98553204089564581033,20,1886.4785542488098,1024,8000,
181193660667862454621,21,2561.6403789520264,1448.154688,9261,
,,,,,
,,,,,